,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
198,RGR,H2AC19,CRYBG3,SLC16A1,NXN,SH3TC2,LAMA2,TGFB1,SCHLAP1,F13A1,BCAN,ADAM12,TACR1,PTPRZ1,SLC7A14-AS1,IL13RA1,ARHGAP6,PLEKHG3,CAPN3,HLA-C,IGHV3-79,LOC105371366,LOC101927141,ALK
199,PPP1R3C,LST1,DACH2,CPB1,TBX15,SYNPR,PRELID2,SLC27A6,FOXP2,TLR10,LOC101927026,MEGF11,STEAP4,FAM107B,PLCH1,CTSB,AXL,LINC03002,CBR1,IL1A,IFNG,SLC16A1,PLEKHG3,ST6GAL1
200,MBNL3,CERNA2,ZNF98,SLC25A48,ATP10A,PRUNE2,RIN3,PHLPP1,DISP1,DOCK1,NPAS3,PHLPP1,SLC2A1,LINC00924,PARD3,MBP,SLC7A11,RIN3,LINC02694,NCF4,MAGEA4,HEPN1,GRIN2C,PLEKHG3
201,SUCLG2,PIP4K2A,AQP1,LITAF,CBR1,PSD2,ZHX2,TMEM63A,TRPS1,NPL,LINC00511,LINC02328,COL25A1,SMOC1,AASS,SEMA6A,MOG,CABLES1,MGST1,TRGC2,KRTAP4-2,PLEKHA7,THSD4,MITF
202,CYBRD1,CD163L1,HHATL,AGA-DT,RGS20,SLC4A4,ETS1,ID3,LOC613266,ADAMTS6,TNFRSF10B,CD55,BCAN,ERG,EMC10,GALNT15,FGF2,GPRC5B,SLC7A2,SFMBT2,IGHJ5,FCMR,TMEM273,ADGRG1
203,ABTB2,LOC105376244,SLC6A13,BTG2,OSMR,LINC01608,LINC03048,KMO,RIN3,RNF125,MT1X,PDGFRB,GNA14-AS1,SLC44A1,ENO4,CARTPT,ERBIN,MMD2,NDST4,WNT5A,LINC02106,ROBO2,PLSCR1,COL25A1
204,CHST3,GALNTL6,CPB2,SH3BP4,ACSL1,CA2,SYNE2,CPB2,BCAN,BCAN,PHLDB1,LRIG1,ATP8B4,GRAMD2B,TREML1,LOC105373335,EMID1,CLIC3,SUCLG2-DT,SEMA3G,KRTAP4-16,TYMP,LYVE1,CFAP418-AS1
205,FN1,VRK2,LAMA2,GALNTL6,SUCLG2-DT,CYP27A1,PLD1,KCNN3,QDPR,POLR2F,LINC01500,KCTD12,GPR37,VCAN,LRRC3B,MYO5B,PXK,TACR1,POLR2F,TMEM144,TRAV16,LAMA4,XYLT1,BCAN
206,USP53,IL21R,KIF6,RAD51B,CFTR,SLC6A20,SPON1,NFATC2,CBR1,FGF13,SLC2A1,CYSLTR2,LOC107984203,PAICS,NRXN1-DT,LOC100507336,PPFIBP2,HIGD1B,FGF2,LINC02953,TRAV20,BEST3,ST6GALNAC3,RASSF8
207,HEY2-AS1,SYK,SYNE2,CNDP1,TREM2,AQP1,PACRG-AS3,ZFHX4-AS1,XYLT1,SLC16A9,LINC02328,CD83,ATP13A4,LINC01931,TM4SF18,TSC22D4,FOXO1,SULF2,STK33,LINC02930,IGHE,SP100,SEPTIN4-AS1,MIR4300HG
208,LINC02930,SIGLEC7,BCAN,IPCEF1,CRYBG3,NR2F2-AS1,PGM5,SSPN,PAICS,NRXN1-DT,PSD2,ARHGEF26,MT3,HIP1,DLEU1,CD69,FERMT1,FGF13,HDAC2-AS2,GATA2,LYPD2,SLC16A9,GNB4,MGST1
209,HLA-C,RREB1,PALD1,MYRF,GSN,AHNAK,LOC101927745,IPCEF1,USP6NL,NCKAP1L,RAD51B,LOC105370315,ELMO1-AS1,PWRN1,LOC613266,HSPB8,COL4A1,PACRG-AS3,LRIG1,S100A9,H2AC18,LAT2,LOC101929626,LINC02240
210,FGFR3,ACP3,LNC-LBCS,BEST1,PLEKHH1,CHODL,LOC101927560,LINC01877,XRCC4,BACH1,EMC10,DDR2,ZNF804A,RUNX2,RNASE3,MAP3K8,HYCC1,HPSE2,BHLHE41,ADM,PRR30,PTPRC,TBX18,MT3
211,PBX3,ZC3HAV1,PBX3,IL1A,VRK2,PON2,MAML3,PARD3,ERBIN,FPR3,RMST,EYA1,CAVIN2,RNASET2,CCL3,CPB2,ATP13A4,DOCK1,PWRN1,LINC00298,CCL14,PREX2,MAP3K8,CD83
